Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,177|81|42|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,177|81|42|,nan|nan|nan|,nan|nan|nan|,0|177|123|,0|0|0|,658|177|123|,0|0|0|,188|65|47|,0|0|0|,0|0|0|,188|65|47|,0|0|0|,0|0|0|,175|62|45|,4|4|18|,0|0|0|
1,0|1|2|,171|58|27|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,171|58|27|,nan|nan|nan|,nan|nan|nan|,0|171|85|,0|0|0|,686|171|85|,0|0|0|,208|65|27|,0|0|0|,0|0|0|,208|65|27|,0|0|0|,0|0|0|,204|62|27|,5|0|12|,0|0|0|
2,0|1|2|,199|62|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,199|62|15|,nan|nan|nan|,nan|nan|nan|,0|199|77|,0|0|0|,440|199|77|,0|0|0|,157|110|33|,0|0|0|,0|0|0|,157|110|33|,0|0|0|,0|0|0|,154|108|32|,3|9|10|,0|0|0|
3,0|1|2|,151|99|22|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,151|99|22|,nan|nan|nan|,nan|nan|nan|,0|151|121|,0|0|0|,1136|151|121|,0|0|0|,239|37|24|,0|0|0|,0|0|0|,239|37|24|,0|0|0|,0|0|0|,233|36|23|,3|0|10|,0|0|0|
4,0|1|2|,230|36|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,230|36|13|,nan|nan|nan|,nan|nan|nan|,0|230|49|,0|0|0|,384|230|49|,0|0|0|,154|125|21|,0|0|0|,0|0|0|,154|125|21|,0|0|0|,0|0|0|,152|122|21|,2|7|10|,0|0|0|
5,0|1|2|,150|115|11|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,150|115|11|,nan|nan|nan|,nan|nan|nan|,0|150|126|,0|0|0|,622|150|126|,0|0|0|,213|51|36|,0|0|0|,0|0|0|,213|51|36|,0|0|0|,0|0|0|,208|48|34|,5|1|12|,0|0|0|
6,0|1|2|,203|47|22|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,203|47|22|,nan|nan|nan|,nan|nan|nan|,0|203|69|,0|0|0|,534|203|69|,0|0|0|,196|80|24|,0|0|0|,0|0|0|,196|80|24|,0|0|0|,0|0|0|,194|80|24|,3|3|13|,0|0|0|
7,0|1|2|,191|77|11|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,191|77|11|,nan|nan|nan|,nan|nan|nan|,0|191|88|,0|0|0|,549|191|88|,0|0|0|,197|71|32|,0|0|0|,0|0|0|,197|71|32|,0|0|0|,0|0|0|,194|70|31|,4|4|13|,0|0|0|
8,0|1|2|,190|66|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,190|66|18|,nan|nan|nan|,nan|nan|nan|,0|190|84|,0|0|0|,686|190|84|,0|0|0|,212|61|27|,0|0|0|,0|0|0|,212|61|27|,0|0|0|,0|0|0|,204|60|27|,6|2|9|,0|0|0|
9,0|1|2|,198|58|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,198|58|18|,nan|nan|nan|,nan|nan|nan|,0|198|76|,0|0|0|,630|198|76|,0|0|0|,203|72|25|,0|0|0|,0|0|0|,203|72|25|,0|0|0|,0|0|0|,199|70|25|,4|2|14|,0|0|0|
10,0|1|2|,195|68|11|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,195|68|11|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
