Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,173|95|32|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,173|95|32|,nan|nan|nan|,nan|nan|nan|,0|173|127|,0|0|0|,793|173|127|,0|0|0|,215|51|34|,0|0|0|,0|0|0|,215|51|34|,0|0|0|,0|0|0|,212|50|34|,1|3|13|,0|0|0|
1,0|1|2|,211|47|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,211|47|21|,nan|nan|nan|,nan|nan|nan|,0|211|68|,0|0|0|,490|211|68|,0|0|0|,173|91|36|,0|0|0|,0|0|0|,173|91|36|,0|0|0|,0|0|0|,171|90|36|,6|4|11|,0|0|0|
2,0|1|2|,165|86|25|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,165|86|25|,nan|nan|nan|,nan|nan|nan|,0|165|111|,0|0|0|,871|165|111|,0|0|0|,221|34|45|,0|0|0|,0|0|0|,221|34|45|,0|0|0|,0|0|0|,216|31|45|,4|2|15|,0|0|0|
3,0|1|2|,212|29|30|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,212|29|30|,nan|nan|nan|,nan|nan|nan|,0|212|59|,0|0|0|,386|212|59|,0|0|0|,157|112|31|,0|0|0|,0|0|0|,157|112|31|,0|0|0|,0|0|0|,154|110|29|,1|2|9|,0|0|0|
4,0|1|2|,153|108|20|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,153|108|20|,nan|nan|nan|,nan|nan|nan|,0|153|128|,0|0|0|,1145|153|128|,0|0|0|,238|36|26|,0|0|0|,0|0|0|,238|36|26|,0|0|0|,0|0|0|,234|36|26|,4|3|8|,0|0|0|
5,0|1|2|,230|33|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,230|33|18|,nan|nan|nan|,nan|nan|nan|,0|230|51|,0|0|0|,589|230|51|,0|0|0|,206|74|20|,0|0|0|,0|0|0|,206|74|20|,0|0|0|,0|0|0|,204|72|20|,7|2|8|,0|0|0|
6,0|1|2|,197|70|12|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,197|70|12|,nan|nan|nan|,nan|nan|nan|,0|197|82|,0|0|0|,726|197|82|,0|0|0|,202|69|29|,0|0|0|,0|0|0|,202|69|29|,0|0|0|,0|0|0|,193|67|28|,4|1|13|,0|0|0|
7,0|1|2|,189|66|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,189|66|15|,nan|nan|nan|,nan|nan|nan|,0|189|81|,0|0|0|,727|189|81|,0|0|0|,217|57|26|,0|0|0|,0|0|0|,217|57|26|,0|0|0|,0|0|0|,212|56|26|,10|4|10|,0|0|0|
8,0|1|2|,202|52|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,202|52|16|,nan|nan|nan|,nan|nan|nan|,0|202|68|,0|0|0|,525|202|68|,0|0|0|,166|99|35|,0|0|0|,0|0|0|,166|99|35|,0|0|0|,0|0|0|,165|97|35|,3|2|14|,0|0|0|
9,0|1|2|,162|95|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,162|95|21|,nan|nan|nan|,nan|nan|nan|,0|162|116|,0|0|0|,1129|162|116|,0|0|0|,251|30|19|,0|0|0|,0|0|0|,251|30|19|,0|0|0|,0|0|0|,247|28|18|,7|1|10|,0|0|0|
10,0|1|2|,240|27|8|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,240|27|8|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
