Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,175|77|48|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,175|77|48|,nan|nan|nan|,nan|nan|nan|,0|175|125|,0|0|0|,957|175|125|,0|0|0|,229|43|28|,0|0|0|,0|0|0|,229|43|28|,0|0|0|,0|0|0|,226|42|28|,0|1|13|,0|0|0|
1,0|1|2|,226|41|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,226|41|15|,nan|nan|nan|,nan|nan|nan|,0|226|56|,0|0|0|,428|226|56|,0|0|0|,142|127|26|,0|0|0|,0|0|0|,142|127|26|,0|0|0|,0|0|0|,136|127|26|,2|6|7|,0|0|0|
2,0|1|2|,134|121|19|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,134|121|19|,nan|nan|nan|,nan|nan|nan|,0|134|140|,0|0|0|,1099|134|140|,0|0|0|,234|38|28|,0|0|0|,0|0|0|,234|38|28|,0|0|0|,0|0|0|,225|38|28|,2|1|10|,0|0|0|
3,0|1|2|,223|37|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,223|37|18|,nan|nan|nan|,nan|nan|nan|,0|223|55|,0|0|0|,322|223|55|,0|0|0|,142|132|26|,0|0|0|,0|0|0|,142|132|26|,0|0|0|,0|0|0|,142|131|25|,3|6|10|,0|0|0|
4,0|1|2|,139|125|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,139|125|15|,nan|nan|nan|,nan|nan|nan|,0|139|140|,0|0|0|,1383|139|140|,0|0|0|,247|34|19|,0|0|0|,0|0|0|,247|34|19|,0|0|0|,0|0|0|,243|34|18|,1|1|9|,0|0|0|
5,0|1|2|,242|33|9|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,242|33|9|,nan|nan|nan|,nan|nan|nan|,0|242|42|,0|0|0|,227|242|42|,0|0|0|,103|173|24|,0|0|0|,0|0|0|,103|173|24|,0|0|0|,0|0|0|,103|170|23|,2|9|7|,0|0|0|
6,0|1|2|,101|161|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,101|161|16|,nan|nan|nan|,nan|nan|nan|,0|101|177|,0|0|0|,1801|101|177|,0|0|0|,261|22|17|,0|0|0|,0|0|0|,261|22|17|,0|0|0|,0|0|0|,250|21|17|,8|1|8|,0|0|0|
7,0|1|2|,242|20|9|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,242|20|9|,nan|nan|nan|,nan|nan|nan|,0|242|29|,0|0|0|,218|242|29|,0|0|0|,127|156|17|,0|0|0|,0|0|0|,127|156|17|,0|0|0|,0|0|0|,125|155|17|,2|7|5|,0|0|0|
8,0|1|2|,123|148|12|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,123|148|12|,nan|nan|nan|,nan|nan|nan|,0|123|160|,0|0|0|,1681|123|160|,0|0|0|,255|21|24|,0|0|0|,0|0|0|,255|21|24|,0|0|0|,0|0|0|,248|20|23|,3|0|10|,0|0|0|
9,0|1|2|,245|20|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,245|20|13|,nan|nan|nan|,nan|nan|nan|,0|245|33|,0|0|0|,128|245|33|,0|0|0|,81|191|25|,0|0|0|,0|0|0|,81|191|25|,0|0|0|,0|0|0|,78|191|25|,2|8|9|,0|0|0|
10,0|1|2|,76|183|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,76|183|16|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
