Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,158|95|47|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,158|95|47|,nan|nan|nan|,nan|nan|nan|,0|158|142|,0|0|0|,1120|158|142|,0|0|0|,227|30|42|,0|0|0|,0|0|0|,227|30|42|,0|0|0|,0|0|0|,221|30|42|,4|2|19|,0|0|0|
1,0|1|2|,217|28|23|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,217|28|23|,nan|nan|nan|,nan|nan|nan|,0|217|51|,0|0|0|,344|217|51|,0|0|0|,159|112|29|,0|0|0|,0|0|0|,159|112|29|,0|0|0|,0|0|0|,150|107|29|,7|4|10|,0|0|0|
2,0|1|2|,143|103|19|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,143|103|19|,nan|nan|nan|,nan|nan|nan|,0|143|122|,0|0|0|,1175|143|122|,0|0|0|,249|26|25|,0|0|0|,0|0|0|,249|26|25|,0|0|0|,0|0|0|,241|25|24|,9|1|7|,0|0|0|
3,0|1|2|,232|24|17|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,232|24|17|,nan|nan|nan|,nan|nan|nan|,0|232|41|,0|0|0|,232|232|41|,0|0|0|,129|149|22|,0|0|0|,0|0|0|,129|149|22|,0|0|0|,0|0|0|,120|142|21|,1|5|8|,0|0|0|
4,0|1|2|,119|137|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,119|137|13|,nan|nan|nan|,nan|nan|nan|,0|119|150|,0|0|0|,1467|119|150|,0|0|0|,250|24|26|,0|0|0|,0|0|0|,250|24|26|,0|0|0|,0|0|0|,243|23|24|,4|1|10|,0|0|0|
5,0|1|2|,239|22|14|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,239|22|14|,nan|nan|nan|,nan|nan|nan|,0|239|36|,0|0|0|,308|239|36|,0|0|0|,116|167|17|,0|0|0|,0|0|0|,116|167|17|,0|0|0|,0|0|0|,114|158|17|,1|11|7|,0|0|0|
6,0|1|2|,113|147|10|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,113|147|10|,nan|nan|nan|,nan|nan|nan|,0|113|157|,0|0|0|,1566|113|157|,0|0|0|,255|25|20|,0|0|0|,0|0|0|,255|25|20|,0|0|0|,0|0|0|,240|25|20|,2|2|9|,0|0|0|
7,0|1|2|,238|23|11|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,238|23|11|,nan|nan|nan|,nan|nan|nan|,0|238|34|,0|0|0|,163|238|34|,0|0|0|,78|192|22|,0|0|0|,0|0|0|,78|192|22|,0|0|0|,0|0|0|,73|188|22|,0|18|9|,0|0|0|
8,0|1|2|,73|170|13|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,73|170|13|,nan|nan|nan|,nan|nan|nan|,0|73|183|,0|0|0|,1062|73|183|,0|0|0|,213|39|48|,0|0|0|,0|0|0|,213|39|48|,0|0|0|,0|0|0|,201|37|44|,2|3|14|,0|0|0|
9,0|1|2|,199|34|30|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,199|34|30|,nan|nan|nan|,nan|nan|nan|,0|199|64|,0|0|0|,352|199|64|,0|0|0|,113|145|28|,0|0|0|,0|0|0|,113|145|28|,0|0|0|,0|0|0|,111|141|28|,3|8|8|,0|0|0|
10,0|1|2|,108|133|20|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,108|133|20|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
