Year,PatchID,Count,TotalAncestors,Proportion,Percentage
0,1,15,47,0.3191489361702128,31.914893617021278
0,2,22,47,0.46808510638297873,46.808510638297875
0,3,10,47,0.2127659574468085,21.27659574468085
1,1,5,29,0.1724137931034483,17.24137931034483
1,2,13,29,0.4482758620689655,44.827586206896555
1,3,11,29,0.3793103448275862,37.93103448275862
2,1,6,25,0.24,24.0
2,2,14,25,0.56,56.00000000000001
2,3,5,25,0.2,20.0
3,1,4,16,0.25,25.0
3,2,8,16,0.5,50.0
3,3,4,16,0.25,25.0
4,1,4,14,0.2857142857142857,28.57142857142857
4,2,7,14,0.5,50.0
4,3,3,14,0.21428571428571427,21.428571428571427
5,1,1,8,0.125,12.5
5,2,4,8,0.5,50.0
5,3,3,8,0.375,37.5
6,1,2,8,0.25,25.0
6,2,4,8,0.5,50.0
6,3,2,8,0.25,25.0
7,1,2,4,0.5,50.0
7,2,2,4,0.5,50.0
7,3,0,4,0.0,0.0
8,1,1,4,0.25,25.0
8,2,2,4,0.5,50.0
8,3,1,4,0.25,25.0
9,1,2,2,1.0,100.0
9,2,0,2,0.0,0.0
9,3,0,2,0.0,0.0
